,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Order qty1,Unit,Code,Barcode,Supplier Name,Description,PC/CS,Price, TOTAL (PH) , PRICE(HK) ,Price/PH,Price/HK,Rate,Sell/Pc,COST,Total Cost,SELL,Gross Profit %,,TOTAL,, CBM , T_CBM , WGT , T_WGT ,,LS,NP,YL16,YL2A,MOS,MOS78,SK,ST,TKO,FC,LC,FL,MF,TY,SH,HH,CL,RHG,SHO,RG,,TSW,TP,TW,TKT,RL,HY,,MF28,SKM,WHS
11,38.00,CASE,OIS123,4800194177955,Yim kee,OISHI PRAWN CRACKERS SWEET & EXTRA HOT 30/95G,30,667.35,"  25,359.30 ",  92.43 ,22.25,3.15,7.06,1,3.15,"  3,591.97 ",6,0.90,,"  6,840.00 ",,  0.096 ,  3.65 ,  4.10 ,  155.80 ,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,1.00,1.00,1.00,,1.00,0.50,
12,51.00,CASE,PIA03,4800016644504,Yim kee,PIATTOS CHEESE 50/85G,50,"1,596.10","  81,401.10 ",  221.07 ,31.92,4.52,7.06,1,4.52,"  11,529.90 ",7,0.55,,"  17,850.00 ",,  0.065 ,  3.32 ,  5.20 ,  265.20 ,,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00,4.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,,2.00,2.00,1.00,1.00,1.00,1.00,,1.00,1.00,
13,35.00,CASE,RIC07,4800523220123,Yim kee,RI-CHEE CRUNCHY SNACK MILK 60G,50,766.1,"  26,813.50 ",  106.11 ,15.32,2.17,7.06,1,2.17,"  3,797.95 ",6,1.76,,"  10,500.00 ",,  0.053 ,  1.86 ,  3.00 ,  105.00 ,,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.50,0.50,1.00,0.50,0.50,,0.50,0.50,
14,20.00,CASE,SNO10,4806500730029,Yim kee,SNOWBEAR CANDY 40/50'S,40,"1,780.80","  35,616.00 ",  246.65 ,44.52,6.31,7.06,1,6.31,"  5,044.76 ",14,1.22,,"  11,200.00 ",,  0.021 ,  0.42 ,  11.20 ,  224.00 ,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,0.50,0.50,0.50,0.50,0.50,0.50,,0.50,0.50,
15,32.00,CASE,WL023,4806511010042,Yim kee,WL CORN BITS CHICKEN SPECIAL 10/70G,100,"1,336.45","  42,766.40 ",  185.10 ,13.36,1.89,7.06,1,1.89,"  6,057.56 ",3,0.58,,"  9,600.00 ",,  0.041 ,  1.31 ,  7.30 ,  233.60 ,,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,0.50,1.00,1.00,1.00,0.50,0.50,,1.00,0.50,0.50,0.50,0.50,0.50,,0.50,0.50,
16,31.00,CASE,WL003,4806511010066,Al-noor,WL CORN BITS MIX SPECIAL 10/10/70G,100,"1,441.85","  44,697.35 ",  199.70 ,14.42,2.04,7.06,1,2.04,"  6,331.07 ",3.5,0.71,,"  10,850.00 ",,  0.040 ,  1.24 ,  8.00 ,  248.00 ,,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,,1.00,1.00,0.50,0.50,0.50,0.50,,0.50,0.50,
17,32.00,CASE,WL006,4806511012916,Al-noor,WL CORN BITS ORIGINAL 10/10/70G,100,"1,336.50","  42,768.00 ",  185.11 ,13.37,1.89,7.06,1,1.89,"  6,057.79 ",3,0.58,,"  9,600.00 ",,  0.039 ,  1.25 ,  7.30 ,  233.60 ,,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,,1.00,1.00,0.50,0.50,0.50,0.50,,0.50,0.50,
18,39.00,CASE,FUD06,4800092553257,Al-noor,FUDGEE BARR SALTED CARAMEL 10/10/38G,10,718.85,"  28,035.15 ",  99.56 ,71.89,10.18,7.06,1,10.18,"  3,970.98 ",17,0.67,,"  6,630.00 ",,  0.023 ,  0.90 ,  4.80 ,  187.20 ,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
19,39.00,CASE,FUD03,4800092551376,Al-noor,FUDGEE BARR VANILLA 10/10/39G,10,712.1,"  27,771.90 ",  98.63 ,71.21,10.09,7.06,1,10.09,"  3,933.70 ",17,0.69,,"  6,630.00 ",,  0.023 ,  0.90 ,  4.50 ,  175.50 ,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
20,31.00,CASE,CLO137,4800216110014,Al-noor,CLOVER CHIPS CHEESIER 35/85GA,35,"1,031.80","  31,985.80 ",  142.91 ,29.48,4.18,7.06,1,4.18,"  4,530.57 ",8,0.92,,"  8,680.00 ",,  0.075 ,  2.33 ,  4.00 ,  124.00 ,,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
